Boucher, (Jean-Jacques), Histoire du Loir-et-Cher à travers son Conseil Général de 1790 à nos jours, Paris, Ed. Lanore, Sorlot, 1984, 238 p. C 321;;;;;;;;
Auteurs - Titres - Editeurs - Année;cote;Nb ex sup;année entrée ;Provenance;lieu-personnage;mot clé 1;mot clé 2;
Lengley du Fresnoy (abbé), Méthode pour étudier l'histoire avec un catalogue des principaux historiens […], t. XII, Paris, Debure et Tilliard, 1771, p. 85-88, photocopie, BBH 3426/124;BBH 3426/124;;2011;don Schweitz;Touraine;bibliographie 18e;;
Millin (Aubin-Louis), Voyage dans les départements du midi de la France, t. IV, seconde partie, Paris, Imprimerie impériale, 1811, p. 752-779, photocopie, BBH 3425/124;BH 3425/124;;2011;don Schweitz;Touraine;description 1811;17e 18e;
"Favreau (Robert), ""L'histoire de l'Anjou aux XVIIe et XVIIIe siècle"", Mémoires de l'Académie d'Angers, 9e série, III-IV, 1969-1970, p. 33-42, BBH 3424/125";BBH 3424/124;;2011;transfert;Anjou;historiographie;;
"Sarazin (André), ""La motte féodale de Doué-la-Fontaine"", Mémoires de l'Académie des sciences, belles-lettres et arts d'Angers, 9e série, I, 1967, p. 59-68, BBH BBH 3423/124";BBH 3423/124;;2011;transfert;Anjou;doué-la-Fontaine;;
"Verry (Elisabeth), ""De l'Anjou au Maine-et-Loire : naissance d'un département"",  Mémoires de l'Académie des sciences, belles-lettres et arts d'Angers, XI, supplément au bulletin des années 1989-1990, p. 123-133, BBH 3422/124";BBH 3422/124;;2011;transfert;Anjou;département 1789;Châteaudun;
Isambert (Gustave), Combat et incendie de Châteaudun (18 octobe 1870), Paris, impr. internationale A. Lacroix, Verboeckhoven et Cie, éditeurs, 1871, 106 p., BBH 3421/124;BBH 3421/124;;2011;Don Jacquet ;Orléanais;Guerre 1870;;
Vonne (Hippolyte de), Six semaines avec les Prussiens, Tours, impr. Mame et fils, 1871, 83 p., BBH 3420/ 124;BBH 3420/124;;2011;Don Jacquet ;Touraine;Guerre 1871;;
Dupuis (Mathias), « L’archéologie médiévale dans et hors l’histoire : retour sur différents usages de la documentation archéologique », L'Atelier du Centre de recherches historiques, 07, 2010, photocopie, BBH 3419/124;BBH 3419/124;;2011;don Schweitz ;historiographie;archéologie médiévale;illustration;
"Fièvre (François), ""Karl Girardet illustrateur chez Mame, ou le voyage pittoresque à destination de la Jeunesse"", Romantisme. Revue du dix-neuvième siècle, 147, 1er semestre 2010, Génération Musset, p. 97-108, photocopie, BBH 3418/124";BBH 3418/124;;2011;don Schweitz ;Tours;Mame;sciences naturelles;
"Rideau (Marc),  150e anniversaire de la mort de Félix Dujardin. Félix Dujardin, un naturaliste oublié de la Touraine"", Mémoires de la Société des sciences, arts et belles-lettres de Touraine, 23, 2010, p. 19-35, BBH 3417/124";BBH 3417/124;;2011;don Rideau;Touraine;Dujardin;centenaire;
Gourdin (P.), Centenaire de la Société des lettres, sciences et arts du Saumurois (1910-2010), commémoration 5 et 6 juin, Saumur, l'auteur, 2010, n. p., photocopies, BBH 3416/124;BBH 3416/124;;2011;don Schweitz;société savante;Saumur;paléolithique très ancien;
"Despriée (Jacky), et al., ""Les nappes alluviales pléistocène du Loir dans la région de Vendôme (Loir-et-Cher, France) : contexte morphosédimentaire et chronologie RPE"", Quaternaire, 14, 4, 2003, p. 207-218, photocopie, BBH 3415/124";BBH 3415/124;;2011;don Despriée;Vendômois;Préhistoire;paléolithique très ancien;
"Despriée (Jacky), et al., ""Les vagues de peuplements humain au Pléistocène inférieur et moyen dans le bassin de la Loire moyenne, région Centre, France. Apports de l'étude des formations fluviatiles"", L'Anthropologie, 113, 2009, p. 125-167, photocopie, BBH 3414/124";BBH 3414/124;;2011;don Despriée;Centre;Préhistoire;paléolithique très ancien;
"Despriée (Jacky), Gageonnet (Robert), ""La très haute nappe alluviale d'âge pléistocène inférieur de la vallée de la Creuse à Eguzon (Indre) : figures de cryoturbation, habitats préhistoriques et datation absolues"", Bulletin de la Société géologique de France, 2003, 174, 4, p. 383-400, photocopie,  BBH 3413/124";BBH 3413/124;;2011;don Despriée;Berry;Préhistoire;Metz;
"Jouffroy (Christian), ""L'académie nationale de Metz de 1760 à 2010"", extr. de Akademos, juin 2011, p. 21-41, BBH 3412/123";BBH 3412/123;;2011;don Schweitz;histoire;société savante;bibliothèque musée;
Weelen (J.-E.), Couturier (Dr R.), Rolland, Le Musée et la Bibliothèque de Châteaudun, histoire, description, Luisant, impr. Durand, 1966, 29 p., BBH 3411/123;BBH 3411/123;;2011;achat 09.11;Orléanais;Châteaudun ;régionalisme;
Hubert-Fillay, Le Loir-et-Cher aujourd'hui, Blois éd. du Jardin de la France, s. d. [1936, voir p. 35], 64 p., carte, envoi de l'auteur, BBH 3410/123;BBh 3410/123;;2011;achat 09.12;Loir-et-Cher;identité;eau;
[Collectif], Deuxième rencontre des académies de la région Centre : les hommes et l'eau en région Centre. Actes du colloque de Châteauroux, 25 septembre 2010, Châteauroux, Académie du Centre, 2010, 85 p., BBH 3409/123;BBH 3409/123;;2011;achat 09.11;Touraine;Brenne;marine ;
[Anonyme], Du canal de jonction à l'autoroute A10. Deux ou trois choses que nous savons d'eux, t. 1 - Histoire du canal, t. 2 - Histoire d'autoroute, Tours, Agence d'urbanisme de l'agglomération de Tours, 2011, 35, 30 p. BBH 3408/123;BBH 3408/123;;2011;don Agence urbanisme;Tours;canal;socilogie;
"Fellrath-Bacart (Francine), ""La guerre de 1870-1871 en Touraine : un nouvelle éclairage"", Mémoires de l'Académie de Touraine, 23, 2010, p. 71-90, BBH 3407/123";BBH 3407/123;;2011;don Fellrath;Touraine;guerre 1870;Orléans;
"La Martinière (J. de), ""Jeanne d'Arc patronne des Ligueurs. L'épée du musée de Dijon dite de Jeanne d'Arc"", extr. des Mémoires de la Société nationale des antiquaires de France, 1937, huitième série, t. X, p. 5-26, BBH 3406/123";BBH 3406/123;;2011;transfert;Jeanne d'Arc;épée Dijon;archéologie chrétienne;
"Bourassé (abbé Jean-Jacques), Archéologie chrétienne ou précis de l'histoire des monuments religieux du Moyen Âge, neuvième édition révisée et complété par M. l'abbé C. Chevalier, Tours, Afred Mame et fils, 1878, photocopie p. V-XVI [l'abbé Bourassé ; Introduction], BBH 3405/123";BBH 3405/123;;2011;transfert;Touraine SAT ;Bourassé;ville;
Tissier (Jean-Louis, dir.), et al., Composition(s) urbaine(s). Programme d'appel à comunications, 137e congrès des société historiques et scientifiques, Tours, université de Tours Fançois-Rabelais, 23-28 avril 2012, Paris, CTHS, Tours, université François-Rabelais, 67 p. BBH 3404/123 ;BBH 3404/123;;2011;transfert;Tours;congrès CTHS 2011;sciences dures;
[Collectif], Hommes de science en Touraine aux XVIIIe et XIXe siècles, exposition des archives municipales de Tours, 16 septembre - 15 octobre 2011, Tours, Académie de Touraine, 2011, 24 p., 2 ex.,  BBH 3403/123;BBH 3403/123;;2011;don Académie;Touraine;biographie;vitrail;
[Anonyme], Cathédrale Saint-Gatien, Tours. Dans la chapelle absidiale, trois vitraux du XIIIe siècle. Comment lire les vitraux, ce qu'ils nous disent, ce qu'ils peuvent nous apporter…., s. l. [Tours], s. n. [association Présence de la Cathédrale], 1995, 12 p. photocopie, BBH 3402/123;BBH 3402/123;;2011;don Schweitz;Tours;cathédrale;vitraux;
[Anonyme], Les verrières du chœur de la cathédrale Saint-Gatien. Présentation du chœur, projet de restauration, s. l. [Tours], s. n. [association Présence de la Cathédrale], s. d. vers [1990], n. non paginé, photocopie, BBH 3401/123;BBH 3401/123;;2011;don Schweitz;Tours;cathédrale;visite Pape 1986;
[Anonyme], Jean-Paul II à Tours, s. l. [Tours], s. n. [Diocèse], s. d. [1986], 20 p., BBH 3400/123;BBH 3400/123;;2011;don Schweitz;Tours;religion;;
"Cholvy (Gérard), ""Faut-il enseigner l'histoire régionale"", extr. de : [Collectif], Colloque national sur l'histoire et son enseignement, Montpellier, 19-20-21 janvier 1984, Paris, CNDP, 1984, p. 25-35, BBH 3399/123";BBH 3399/123;;2011;don Schweitz;histoire locale;enseignement;symbolisme;
Marliangeas (Dominique), Qu'est-ce qu'une église. Maison de Dieu. De la crypte au clocher, une visite guidée, Paris, Fêtes et Saisons, 526, juin-juillet 1998, 34 p. BBH 3398/123;BBH 3398/123;;2011;don Schweitz;architecture;religion;18e;
[Collectif], Société nationale académique de Cherbourg 1755-2005. Commémoration du deux cent cinquantenaire, Cherbourg - Octeville, 3 et 4 juin 2005, Cherbourg, Société nationale académique de Cherbourg, 2005, 63 p. BBH 3397/123;BBH 3397/123;;2011;transfert;Histoire;société savante;Inventaire centre;
[Collectif], L'inventaire du patrimoine architectural dans la région  Centre, in Notes sur l'aménagement, région Centre, 17, décembre 1978, 11 p. BBH 3396/123;BBH 3396/123;;2011;transfert;Touraine;histoire;Josnes;
"Laspeyres (Arnaud), ""L'année terrible à Beaugency (deuxième partie). Les lignes de Josnes : de la bataille de Coulmiers au combat de Fouinard"", Bulletin de la Société archéologique et historique de Beaugency, 16, 1988, p. 10-23, BBH 3395/123";BBH 3395/123;;2011;transfert;Oréanais;guerre 1870;18e;
"Cousin (J.), ""L'Académie des sciences, belles-lettres et arts de Besançon et les problèmes agronomiques au XVIIIe siècle (essai de synthèse)"", Annales littéraires de l'université de Besançon, VIII, 1953, VIII, p. 3-32 BBH 3394/123";BBH 3394/123;;2011;transfert;Histoire ;agronomie;Loches;
3487/125;BBH 3393/123;;2011;achat 08.11;Touraine;carte 18e;Petite Beauce;
Bagault (G. C.), Un enfant de Landes, s. l., l'auteur, 1993, 113 p. BBH 3393/123;BBH 3392/123;;2011;achat 08.11;Loir-et-Cher;vie rurale;;
Schweitz (Daniel), 2008, « La nouvelle bibliothèque de la Société archéologique de Touraine (1940-2007) », BSAT, LIV, 2008, p. 245-265., BBH 3391/123;BBH 3391/123;;2011;don Schweitz ;Touraine SAT ;bibliothèque;;
Schweitz (Daniel), 2009, « La première bibliothèque d’étude de la Société archéologique de Touraine (1840-1940) », BSAT, LV, 2009, p. 207-243, BBH 3390/123;BBH 3390/123;;2011;don Schweitz ;Touraine SAT ;bibliothèque;;
Hauchecorne (François), « Fonds local et régional », Bulletin des bibbiothèques de France, 1982, 1, p. 25-30 [en ligne] <http://bbf.enssib.fr, tirage BBH 3389/123;BBH 3389/123;;2011;don Schweitz ;bibiothèque;fonds local;sarrasins;
[Anonyme], Bibliographie sur la légende des Sarrasins du Véron, Beaumont-en-Véron, écomusée du Véron, s. d. [2011], 3 ff photocopie, BBH 3388/123;BBH 3388/123;;2011;don Schweitz ;Touraine;Véron;;
"Schweitz (Daniel), 1994, ""Saint Ours et les traditions populaires de Loches"", extr. Le Val de l'Indre, 6, 1994, p. 49-61, photocopie BBH 3387/123";BBH 3387/123;;2011;don Schweitz ;Touraine;traditions populaires;;
"Debray (Pierre), ""Signes lapidaires en Belgique"", extr. Cahiers médiévaux, Club du Vieux Manoir, 17, avril 1979, p. 9-19 BBH 3386/123";BBH 3386/123;;2011;don Schweitz ;histoire;graffiti;Blois, Bury;
[Collectif], L'architecture qui dessina Blois et les châteaux de la Loire : Jacques Androuet du Cerceau et son temps : un artiste révélé. Petit journal de l'exposition, château royal de Blois, 21 mai-18 septembre 2011, 15 p. BBH 3385/123;BBH 3385/123;;2011;Don Pasquier ;histoire;architecture renaissance;;
Boulay de la Meurthe (Comte),Translation des restes de Descartes à l'abbaye Saint-Germain-des-Prés, extr. du BSAT, XIII, p. 55-56 BBH 3384/123;BBH 3384/123;;2011;transfert;Descartes ;translation restes;;
Porhel (Jean-Luc), Guy (Nathalie), Tours se raconte, fasc. 4, Sanitas. Paroles d'habitants, Tours, Archives municipales de Tours, 2011, 51 p. BBH 3383/123;BBH 3383/123;;2011;don Archives municipales;Tours;ethnographie Sanitas;;
[Anonyme], Tours et la Touraine, Tours, Arrault et Cie, 1947, 58 p. BBH 3382/123;BBH 3382/123;;2011;achat 06.11;Touraine;guide tourisme;jetons;
"Cau (Michel), ""Les jetons de présence de la Société des Arts et Sciences de Carcassonne, Mémoires de l'Académie des arts et des sciences de Carcassonne, 5e série, X, 2004-2005,  p. 205-212 BBH 3381/123";BBH 3381/123;;2011;transfert;histoire;société savante;;
David (Georges), Le château de Coussay en pays de Loire. Monographie historique du château et du village. Richelieu à Coussay [avant 1961], photocopie, 41 p.  BBH 3380/123  ;BBH 3380/123;;2011;Don Pasquier ;Touraine;Richelieu;;
[Anonyme], Clin d'œil sur le patrimoine industriel : la filature de Ligugé (Vienne), photocopie, région Poitou-Charentes, Service de l'inventaire du patrimoine culturel, 2010, 6 p. BBH 3379/123;BBH 3379/123;;2011;Don Pasquier ;Poitou;Textile;sites;
Audin (Pierre), Atlas de la région Centre. Les sites archéologiques de la région Centre (du Néolitique au Gallo-romain), s. l., s. n., s. d. , n. p., BBH3378/122;BBH 3378/122;;2011;Don Audin;Centre;archéologie;;
"Audin (Pierre), ""Une plante médicinale vendue dans tout le monde antique : le Nardus celtica"", extr. de Caesarodunum, 1977, 12, actes du colloque Géographie commerciale de la Gaule, ENS, juin 1976 (Tours, 1977), p. 397-403 BBH 3377/122";BBH 3377/122;;2011;Don Audin;histoire;médecine GR;eaux;
"Audin (Pierre), ""Les mères gauloises des eaux"", extr. de Caesarodunum, XV bis, colloque histoire et historiographie. Clio, p. 495-502 BBH 3376/122";BB 3376/122;;2011;Don Audin;histoire;croyances;païens;
"Audin (Pierre), ""Césaire d'Arles et le maintien de pratiques païennes dans la Provence du VIe siècle"",  extr. de La patrie gauloise, d'Agrippa au VIe siècle (Lyon 1981), Lyon, Publications de l'université Jean-Moulin, s. d., p. p. 327-340 BBH 3375/122";BBH 3375/122;;2011;Don Audin;histoire;croyances;vie quotidienne;
"Audin (Pierre), ""préinventaire des objets en bois de la Gaule romaine"", extr. de Le bois et la forêt  en Gaule, Paris, Errance, 1986, p. 39-71 BBH 3374/122";BBH 3374/1122;;2011;Don Audin;archéologie;bois;;
Nouel (abbé André), Promenades à travers les millénaires de notre Préhistoire (Beauce, Forêt d'Orléans, Gâtinais, Val de Loire, Sologne), Orléans, Houzé libr.-éd., 1959, 50 p. BBH 3373/122;BBH 3373/122;;2011;don Hild;Val de Loire Centre;Préhistoire;;
Jubault (Cécile), L'extraordinaire aventure de la forêt de Fréteval mai-août 1944, 11 juin 1967, s. l., s. n., s. d. [1967], 21 p. BBH 3372/122;BBH 3372/122;;2011;don Hild;Vendômois;1944;;
"Leveel (Pierre), ""À travers le passé. Pourquoi la Marche ? [Limousin]"", s. l., s. n., s. d. [Limoges, lycée Gay-Lussac, 1962], n. p. [1 ff.] BBH 3371/122.";BBH 3371/122;;2011;don Leveel;histoire;Marche limousine;;
[Collectif], Un projet pour les paysages du Val de Loire inscrits au patrimoine mondial de l'Unesco, in Les cahiers du Val de Loire-patrimoine mondial, 4, 2008, 75 p. BB 3370/122;BBH 3370/122;;2011;don Schweitz ;Loire;paysages;;
Laplace (Marcel), Géographie de l'Indre, Châteauroux, Société d'imprimerie, d'éditions et des journaux du Berry, 1923, 88 p. BBH 3369/122;BBH 3369/122;;2011;achat 06.11;Berry;géographie scolaire;;
"Doireau (Pierre), ""Les fuies et colombiers de Touraine sous le regard de la Coutume"", BSAT, LVI, 2010, p. 91-104. BBH 3368/122";BBH 3368/122;;2011;don auteur;Touraine;architecture rurale;;
[Collectif], Michelin : un demi-siècle en Touraine, La Nouvelle République, supplément , mercredi 8 juin 2011, 8 p. BBH 3367/122;BBH 3367/122;;2011;don Pasquier;Touraine;industrie;;
Couderc (Jean-Mary), La Loire. Mémoire d'un fleuve, Tours, La Nouvelle République, 2011, 51 p., ill. BBH 3366/122;BBH 3366/122;;2011;don Couderc;Loire;Patrimoine;;
"Seigne (Jacques), ""Un pont (?) antique (?) à Tours"", Revue archéologique du Centre, 410, 2001, p. 287-290, photocopie BBH 3365/122";BBH 3365/122;;2011;don Schweitz ;Tours;pont GR;;
[Anonyme], ABC de la bibliophilie, tirage du site Internet : http://www.bibliopolis.net BBH 3364/122;BBH 3364/122;;2011;don Schweitz ;méthodologie bibliothèque;glossaire;;
[Collectif], Stèles et statues des Celtes du Midi de la France (VIIIe-IVe siècle av. J.-C., Rodez, Conseil général de l'Aveyron, 2009, 79 p. BBH 3363/122;BBH 3363/122;;2011;échange;archéologie;stèles gauloises;;
"[Collectif], ""Journées historiques de Touraine 1940-1944"", Bulletin d'information du conseil général d'Indre-et-Loire, 7, juillet 1984, p. 7-10 BBH 3362/122";BBH 3362/122;;2011;transfert;Tours;1940;;
"Braudel (Fernand) ""Histoire et sciences sociales : La longue durée"", in  Annales ESC, 4, 1958, p. 9-37, photocopie, BBH 3361/122";BBH 3361/122;;2011;don Schweitz ;méthodologie histoire;longue durée;;
Roze (Antoinette) et al., Tours, Cité de la Soie. Spécial collections, in La Gazette, 49, avril 2011,  12 p. BBH 3360/122;BBH 3360/122;;2011;Don Chapart Berthe;Tours;soie;;
"Rideau (Marc),"" Haut-lieu botanique de la Touraine. La découverte des richesses de la flore chinonaise au XIXe siècle"", Bulletin des Amis du Vieux Chinon, XI, 5, 2011, 453-468 BBH 3359/122";BBH 3359/122;;2011;don Rideau;Touraine;botanique 19e;;
"Perrotin-Frémont (Augustin), ""Souvenirs d'autrefois à Crouzilles"", Bulletin de la Société des Amis du Vieux Chinon, VII, 4, 1970, p. 408-412 BBH 3358/122";BBH 3358/122;;2011;don BMT;Touraine;vie quotidienne;;
[Collectif], Azay-le-Rideau, château, façade du grand escalier, coll. Patrimoine restauré en Région Centre, n° 13, juin 2003, n. p. BBH 3357/122.;BBH 3357/122;;2011;don BMT;Touraine;Azay-le-Rideau;;
[Anonyme], Votre maison à une histoire. Précis de généalogie immobilière, Tours, Conseil général d'Indre-et-Loire et Chambre des notaires d'Indre-et-Loire, s. d. [2006], 21 p., photocopie, BBH 3356/122;BBH 3356/122;;2011;don Schweitz ;méthodologie histoire;maison;;
Héry (Evelyne), « Enseignement de l'histoire et histoire locale (1880- 1980) », Annales de Bretagne et des pays de l'Ouest, 107, 1, 2000. p. 69-95, photocopie BBH 3354/112;BBH 3355/122;;2011;don Schweitz ;historiographie;histoire locale;;
"Weber (Florence), ""Histoire locale et ethnographie"", in Percot (Marie, dir.), 2001, Histoire locale, rencontres d'Ancenis, Nantes, Siloë, 2001, p. 49-56, photocopie, BBH 3354/122";BBH 3354/122;;2011;transfert;méthodologie histoire;histoire locale;;
Revel (Jacques), « L’histoire au ras du sol », in Giovanni Levi, Le pouvoir au village. Histoire d’un excorciste dans le Piémont du XVIIe siècle […], Paris, Gallimard, 1989, p. I-XXXIII,  BBH 3353/122;BBH 3353/122;;2011;don Schweitz ;méthodologie histoire;microhistoire;;
"Saunier  (Pierre-Yves), ""Les entrepreneurs du local. Actions érudites à Lyon sous la IIIe république"", in Elites et pouvoirs locaux. La France du Sud-Est sous la Troisième République, 1998, p. 277-300., photocopie de halshs , BBH 3352/122";BBH 3352/122;;2011;don Schweitz ;Histoire;société savante;;
"Parsis-Barubé (Odile), ""Remuements de chartes et passage à l'histoire : la fatalité du déficit de récit dans les programmes centeralisés de collecte de sources (1750-1850), in Historiographie et archivistique. Ecriture et méthodes de l'histoire à l'aune de la mise en archives, Territoires contemporain, photocopie BBH 3351/122";BBH 3351/122;;2011;don Schweitz ;Historiographie;archives;;
[Collectif], Jean Royer 1920-2011, Tours, La Nouvelle République, HS mars 2011, 12 p., BBH 3350/122;BBH 3350/122;;2011;don Schweitz ;Tours;biographie;;
Porhel (Jean-Luc), Glover (Géraldine), Fonds Lelong 23, Archives municipales de Tours, n. p., photocopie , BBH 3349/122;BBH 3349/122;;2011;transfert;Touraine;inventaire fonds Lelong AM Tours;;
Brunhes-Delamarre (Mariel-J.), Techniques de production : l’élevage, in Musée national des arts et traditions populaires, Guides ethnologiques, 6/7, Paris, éd. des musées nationaux, 1975, 63 p., BBH 3348/122;BBH 3348/122;;2011;achat 04.11;ethnographie;élevage;;
Brunhes-Delamarre (Mariel-J.), Henninger (Roger), Transports ruraux, in Musée national des arts et traditions populaires, Guides ethnologiques, 3, Paris, éd. des musées nationaux, 1972, 63 p., BBH 3347/122;BBH 3347/122;;2011;achat 04.11;ethnographie;transports;;
Constant (G.) et al., Deux années d'essais démonstratifs en Touraine […]. Campagnes agricoles 1951-52 et 1952-53, Tours, Direction des Services agricoles d'Indre-et-Loire, s.d. [vers 1954], 60 p. BBH 3346/122;BBH 3346/122;;2011;achat 04.11;Touraine;agriculture;;
"Laboulais-Lesage (Isabelle), ""Les géographes français de la fin du XVIIIe siècle et le terrain, recherches sur une paradoxale abscence"", L'espace géographique, 2001, 2, p. 97-110, photocopie, BBH 3345/1121";BBH 3345/121;;2011;don Schweitz ;historiographie géographie;18e siècle;;
"Noizet (Hélène), ""De l'église au territoire : les paroisses à Tours (XIe-XIIIe siècle)"", Médiévales, 49, automne 2005, 8 p. photocopie, BBH 3344/121";BBH 3344/121;;2011;don Schweitz ;Tours;paroisses MA;Bizeau ;
Bizeau (Eugène), Hommage à Paul-Louis Courier (Paris 1771-Véretz 1825), s. l., l'auteur, 1972, 17 p. BBH 3343/121;BBH 3343/121;;2011;transfert;Touraine;littérature poésie;;
Tassi (Stéphane), Mame et le plat historié, in Spécial Mame, 1, Bulletin 13, mars 2011, Paris, Centre de documentation des livres à plat historié (1865-1939), 2011, 31 p. BBH 3342/121;BBH 3342/121;;2011;achat 03.11;Tours;livre;;
Poisson (Denise et Paul), À la découverte de Tours, in Bibliothèque de travail, 641, 1er mars 1967, 40 p. BBH 3341/121;3341/121;;2011;transfert;Tours;description scolaire Freinet;;
"Hiernard (Jean), 'L'univers de deux amateurs poitevins du XIXe siècle"", Revue historique du Centre-Ouest, VII, 1er sem. 2008, p. 7-29 BBH 3340/121";BBH 3340/121;;2011;don Schweitz ;Histoire;historiographie;;
André (Jacques), Petites leçons de typographie, Rennes, Irisa/Inria, 1990, 28 p., photocopie, BBH 3339/121;BBH 3339/121;;2011;don Schweitz ;méthodologie publication;typographie;;
Carrière  (Victor), « Essai sur l’historiographie ecclésiastique locale », Revue d’histoire de l’Église de France, 109, 1939, p. 4525-472 [BSAT : BBH 3338/121]. ;BBH 338/121;;2011;don Schweitz ;méthodologie histoire;religion;;
"Grente (Georges), ""L'histoire locale et le clergé"", Revue d'histoire de l’Église de France, 100, 1937, p. 381-395,  photocopie,  BBH 3337/121";BBH 337/121;;2011;don Schweitz ;méthodologie histoire;religion;urbanisme;
[Anonyme], Quartiers anciens de Blois. Guide pour la réhabilitation du patrimoine, Blois, DAUP ville de Blois et Service départemental de l'architecture et du patrimoine, 2002, 19 p.,  photocopie, BBH 3336/121;BBH 3336/121;;2011;don Pasquier;Loir-et-Cher;Blois ;industrie;
"Gosset (Jeannine), ""La fonderie d'art de Pocé-sur-Cisse (1823-1877)"", Val d'Amboise info, 13, mars 2007, p. 14-15, photocopie, BBH 3335/121";BBH 3335/121;;2011;don Schweitz ;Touraine;Pocé-sur-Cisse;château;
Faucillon (Dr E.), Notes historiques sur le domaine de La Villaumaire à Huismes, près Chinon (Indre-et-Loire). Extr. du Bulletin des Amis du Vieux Chinon, III, 1, 1928, p. 47-56), BBH 3334/121;BBH 3334/121;;2011;don  Pasquier;Touraine;Huismes;;
[Anonyme], [document de présentation des recherches aux Archives nationales], éd. juin 2010, photocopie, n. p., BBH 3333/121;BBH 3333/121;;2011;don Schweitz ;méthodologie histoire;Archives nationales;;
Chauleur (andrée), Bibliothèques et archives : comment se documenter ? Guide pratique à l'usage des étudiants, des professeurs, des documentalistes et archivistes, des chercheurs…, 2e éd., Paris Economica, 1980, 334 p., extrait photocopié, BBH 3332/121 ;BBH 3332/121;;2011;don Schweitz ;méthodologie histoire;bibliothèque;patrimoine;
"Maman (Lucien), Vienne (Laurent, ""Les zones humides, un patrimoine remarquable"", Géosciences, 12, décembre 2010, La Loire agent géologique, p. 68-77, tirage, BBH 3331/121";BBH 3331/121;;2011;don Schweitz ;Loire;géographie;;
"[Collectif], ""Tableau géographique des paysages ligérien"", Géosciences, 12, décembre 2010, La Loire agent géologique, p. 112-121, tirage, BBH 3330/121";BBH 3330/121;;2011;don Schweitz ;Loire;géographie;;
"Dumont (Annie), ""Que nous apprennent les vestiges des (très) vieux de la Loire ?"" Géosciences, 12, décembre 2010, La Loire agent géologique, p. 34-41, tirage , BBH 3329/121 ";BBH 3329/121;;2011;don Schweitz ;Loire;ponts;;
"Prigent (Daniel), ""La Loire : de la carrière au monument"", Géosciences, 12, décembre 2010, La Loire agent géologique, p. 24-35, tirage, BBH 3328/121";BBH 3328/121;;2011;don Schweitz ;Loire;monuments;;
Auclerc (Philippe), Et si l'on prenait le bâteau à vapeur, s. l., Loire et Terroirs éditions, 2007, 93 p. BBH 3327/121;BBH 3327/121;;2011;achat 02.11;Loire;marine vapeur;;
Suzanne (Prosper), Promenade à travers le Vieux Tours. Offert et publié par le Grand Bazar et Nouvelles Galeries, rue Nationale, Tours, Tours, impr. Tourangelle, s. d. [vers 1905-1910], 48 p. BBH 3326/121;BBH 3326/121;;2011;don Jean Metz;Tours;vieux Tours 1900;;
"Suzanne (Prosper), Plessis Les Tours et les contes de Ch. Perrault. Offert et publié par le Grand Bazar et Nouvelles Galeries, 76-78 rue Nationale, Tours, Tours, impr. Tourangelle, s; d. [vers 1905-1910], 47 p. BBH 3325/121";BBH 3325/121;;2011;don Jean Metz;Tours;Plessis-lès-Tours;;
Suzanne (Prosper), La vie en Touraine. 1906. Offert et publié par le Grand Bazar, 78 rue Nationale, Tours, Tours, impr. Tourangelle, 1906, 48 p. BBH 3324/121;BBH 3324/121;;2011;don Jean Metz;Touraine;vie sociale 1900;;
Suzanne (Prosper), De Tours à Loches et Montrésor. Publié et offert par le Grand Bazar, 19-6-78 rue Nationale, Tours, Tours, Tours, impr. Tourangelle, s. d. [vers 1905-1910], 48 p. BBH 3323/121;BBH 3323/121;;2011;don Jean Metz;Touraine;tourisme 1900;;
Suzanne (Prosper), De Tours à Saint-Avertin et Larcy. Les environs de Tours. La Côte Verte.  1903, Offert et publié par le Grand Bazar et Nouvelles Galeries, rue Nationale, 78, Tours, Tours, impr. Tourangelle, 1903, 46 p. BBH 3322/121;BBH 3322/121;;2011;don Jean Metz;Tours;tourisme 1901;;
Suzanne (Prosper), Chroniques de Touraine. Offert et publié par le Grand Bazar et Nouvelles Galeries, Tours, Tours, impr. Tourangelle, 1914, 63 p. BBH 3321/121;BBH 3321/121 ;;2011;don Jean Metz;Touraine;vie sociale 1900;historien;
"[Anonyme], ""In Memoriam : Gérard Troupeau"", La Mettre de Monnet. Société archéologique et archéologique d'Argenteuil et du Parisis, 35, février 2011, n. p., 2 p., BBH 3320/121";BBH 3320/121;;2011;don Schweitz;Touraine SAT ;Biographie;;
[Anonyme],  Que sait-on de l'église de Brinay ?  Vivre à Brinay, Brinay  (Cher), s. d. [vers 1990], n. p. [4 ff], BBH 3319/121;BBH 3319/121;;2011;transfert;Berry;peintures MA;;
Vivier (Robert), Picard (H.), Bourgeuil et son canton. Géographie, histoire, Bourgueil, Société des enfants de Bourgueil, 1936, 48 p. BBH 3318/121;BBH 3318/121;;2011;Achat 01.11;Touraine;Bourgueil;;
[Anonyme], Ma paroisse : Saint-Pierre-des-Corps, Tours, Tours, impr. Paul Salmon, 1907, 44 p. BBH 3317/121;BBH 3317/121;;2011;Achat 01.11;Tours;paroisse SPC;;
Giraud (Pierre-Gilles), Un langage sans parole : l'image au Moyen Âge […], Orléans, ADATEC, 1993, 20 p. BBH 3316/121;BBH 3316/121;;2011;Achat 01.11;histoire;iconographie MA;Maupas;
